catalog_name	family	copy	LG
53624	09	x1	0
53633	08	x1	12
53633	09	x1	0
53651	01	x1	0
53651	01	x2	0
53651	09	x1	0
53651	09	x2	0
53677	08	x1	7
53679	09	x1	0
53769	08	x1	27
53769	09	x1	0
53779	09	x1	0
53818	01	x1	0
53818	09	x1	0
53834	01	x1	0
53834	09	x1	0
53906	01	x1	0
53906	08	x1	3
53906	09	x1	0
53940	01	x1	0
53940	08	x1	35
53959	09	x1	0
54023	01	x1	0
54042	01	x1	0
54044	09	x1	0
54069	08	x1	3
54069	09	x1	0
54083	01	x1	0
54083	08	x1	6
54135	08	x1	12
54135	09	x1	0
54148	08	x1	7
54148	09	x1	0
54208	08	x1	27
54208	09	x1	0
54224	08	x1	37
54243	01	x1	0
54315	08	x1	28
54315	08	x2	10
54315	09	x1	0
54356	08	x1	37
54365	09	x1	0
54390	09	x1	0
54402	01	x1	0
54402	08	x1	7
54402	08	x2	0
54402	09	x1	0
54413	01	x1	0
54413	08	x1	0
54413	09	x1	0
54446	01	x1	0
54446	01	x2	0
54446	09	x1	0
54446	09	x2	0
54453	09	x1	0
54474	01	x1	0
54474	08	x1	22
54474	09	x1	0
54474	09	x2	0
54493	01	x1	0
54493	09	x1	0
54540	01	x1	0
54540	01	x2	0
54540	08	x1	11
54540	09	x1	0
54540	09	x2	0
54552	01	x1	0
54552	01	x2	0
54552	09	x1	0
54552	09	x2	0
54555	01	x1	0
54555	08	x1	2
5456	01	x1	0
5456	08	x1	12
54583	01	x1	0
54583	09	x1	0
54703	08	x1	11
5470	09	x1	0
54743	01	x1	0
54743	09	x1	0
54755	01	x1	0
54755	01	x2	0
54755	08	x1	10
54760	09	x1	0
54786	08	x1	28
54787	01	x1	0
54787	09	x1	0
54797	01	x1	0
54797	08	x1	3
54797	09	x1	0
54810	09	x1	0
54836	01	x1	0
54836	08	x1	12
54836	08	x2	22
54845	01	x1	0
54845	08	x1	5
54873	09	x1	0
54907	09	x1	0
54936	09	x1	0
54964	09	x1	0
54979	09	x1	0
54	01	x1	0
55020	01	x1	0
55020	08	x1	27
55020	09	x1	0
55020	09	x2	0
55021	08	x1	29
55026	09	x1	0
55104	01	x1	0
55104	09	x1	0
55155	08	x1	28
55169	01	x1	0
55169	08	x1	3
55169	09	x1	0
55192	08	x1	7
55192	09	x1	0
5520	09	x1	0
55242	01	x1	0
55242	09	x1	0
55267	08	x1	22
55291	08	x1	22
55291	09	x1	0
55299	09	x1	0
5533	01	x1	0
5533	08	x1	7
55367	01	x1	0
55367	09	x1	0
55399	01	x1	0
