old_name	new_name	LG
22472_chum_08_x1	22472_A	27
22472_chum_08_x2	22472_B	0
22472_chum_01_x1	22472_C	0
22472_chum_01_x2	22472_D	0
22472_chum_09_x1	22472_E	11
22472_chum_09_x2	22472_F	0
52815_chum_08_x1	52815_A	34
52815_chum_08_x2	52815_B	0
52815_chum_01_x1	52815_C	0
52815_chum_01_x2	52815_D	0
52815_chum_09_x1	52815_E	0
52815_chum_09_x2	52815_F	0
77111_chum_08_x1	77111_A	0
77111_chum_08_x2	77111_B	0
77111_chum_01_x1	77111_C	0
77111_chum_01_x2	77111_D	0
77111_chum_09_x1	77111_E	0
77111_chum_09_x2	77111_F	0
22674_chum_08_x1	22674_A	2
22674_chum_08_x2	22674_B	0
22674_chum_01_x1	22674_A	2
22674_chum_01_x2	22674_C	0
22674_chum_09_x1	22674_D	0
22674_chum_09_x2	22674_E	0
11373_chum_08_x1	11373_A	0
11373_chum_08_x2	11373_B	0
11373_chum_01_x1	11373_C	0
11373_chum_01_x2	11373_D	0
11373_chum_09_x1	11373_E	0
11373_chum_09_x2	11373_F	0
77762_chum_08_x1	77762_A	0
77762_chum_08_x2	77762_B	0
77762_chum_01_x1	77762_C	0
77762_chum_01_x2	77762_D	0
77762_chum_09_x1	77762_E	0
77762_chum_09_x2	77762_F	0
55026_chum_08_x1	55026_A	0
55026_chum_08_x2	55026_B	0
55026_chum_01_x1	55026_C	0
55026_chum_01_x2	55026_D	0
55026_chum_09_x1	55026_E	7
55026_chum_09_x2	55026_F	0
55021_chum_08_x1	55021_A	29
55021_chum_08_x2	55021_B	0
55021_chum_01_x1	55021_C	0
55021_chum_01_x2	55021_D	0
55021_chum_09_x1	55021_E	0
55021_chum_09_x2	55021_F	0
55020_chum_08_x1	55020_A	27
55020_chum_08_x2	55020_B	0
55020_chum_01_x1	55020_C	0
55020_chum_01_x2	55020_D	0
55020_chum_09_x1	55020_A	27
55020_chum_09_x2	55020_E	11
32646_chum_08_x1	32646_A	7
32646_chum_08_x2	32646_B	0
32646_chum_01_x1	32646_C	0
32646_chum_01_x2	32646_D	0
32646_chum_09_x1	32646_E	0
32646_chum_09_x2	32646_F	0
55933_chum_08_x1	55933_A	0
55933_chum_08_x2	55933_B	0
55933_chum_01_x1	55933_C	0
55933_chum_01_x2	55933_D	0
55933_chum_09_x1	55933_E	36
55933_chum_09_x2	55933_F	0
55242_chum_08_x1	55242_A	0
55242_chum_08_x2	55242_B	0
55242_chum_01_x1	55242_C	0
55242_chum_01_x2	55242_D	0
55242_chum_09_x1	55242_E	9
55242_chum_09_x2	55242_F	0
56591_chum_08_x1	56591_A	2
56591_chum_08_x2	56591_B	0
56591_chum_01_x1	56591_C	0
56591_chum_01_x2	56591_D	0
56591_chum_09_x1	56591_E	0
56591_chum_09_x2	56591_F	0
12712_chum_08_x1	12712_A	3
