catalog_name	family	copy	LG
35513	08	x1	9
3577	01	x1	22
3577	08	x1	22
3577	09	x1	22
35872	01	x1	6
35872	08	x1	6
35872	09	x1	6
35991	01	x1	28
35991	08	x1	28
35991	09	x1	10
36030	09	x1	0
36071	08	x1	10
3617	01	x1	0
3619	01	x1	7
3619	01	x2	0
3619	08	x1	7
3619	08	x2	3
36204	09	x1	12
36214	09	x1	0
36257	09	x1	3
36348	09	x1	6
36376	01	x1	0
36455	09	x1	35
36608	09	x1	12
367	09	x1	3
36928	09	x1	0
36976	09	x1	0
37153	01	x1	12
37153	08	x1	27
37153	09	x1	12
3720	01	x1	7
3720	01	x2	3
3720	09	x1	7
37291	01	x1	6
37392	09	x1	22
37422	09	x1	0
3750	01	x1	0
37514	01	x1	28
37562	08	x1	12
3778	09	x1	0
37859	08	x1	7
37859	09	x1	36
37893	01	x1	11
37893	09	x1	22
3792	01	x1	11
37948	08	x1	3
38075	08	x1	0
38080	09	x1	35
38148	09	x1	6
3841	01	x1	9
38480	09	x1	0
38489	01	x1	0
38489	09	x1	0
38594	08	x1	28
38594	09	x1	28
38640	08	x1	29
3900	01	x1	36
3900	08	x1	7
3902	01	x1	6
3902	01	x2	0
39152	09	x1	3
39395	01	x1	0
39395	09	x1	0
39428	09	x1	0
39483	09	x1	0
39666	08	x1	27
39732	08	x1	9
39864	08	x1	9
39907	01	x1	28
39912	09	x1	11
39956	08	x1	7
39962	08	x1	0
40077	08	x1	11
40077	09	x1	11
40083	08	x1	12
40083	09	x1	12
40104	01	x1	7
40107	08	x1	22
40126	08	x1	27
40126	09	x1	27
40130	01	x1	11
40130	01	x2	2
40130	09	x1	11
40189	08	x1	35
40193	08	x1	0
40255	08	x1	5
40268	01	x1	7
40269	08	x1	3
40302	08	x1	28
40307	09	x1	0
40314	01	x1	0
40314	08	x1	2
40343	09	x1	0
4035	08	x1	0
40384	09	x1	0
40422	01	x1	0
40483	01	x1	0
40483	09	x1	0
404	01	x1	28
404	08	x1	28
404	08	x2	10
40500	08	x1	6
40525	01	x1	0
40535	01	x1	0
40535	09	x1	0
40557	09	x1	0
4056	09	x1	0
40627	08	x1	0
40657	01	x1	12
40705	01	x1	0
40705	08	x1	0
40835	09	x1	0
40843	01	x1	22
40968	08	x1	22
40968	09	x1	11
40995	09	x1	8
41047	01	x1	36
41047	08	x1	0
41047	08	x2	7
41047	09	x1	7
41052	01	x1	6
4111	09	x1	0
41210	01	x1	11
41210	08	x1	22
41231	09	x1	0
41245	01	x1	0
41260	08	x1	19
41260	09	x1	19
41283	01	x1	0
41283	08	x1	0
41283	09	x1	0
41284	09	x1	27
41315	08	x1	3
41315	08	x2	7
41315	09	x1	3
41315	09	x2	7
41408	01	x1	9
41408	08	x1	9
41443	01	x1	35
41443	09	x1	35
4144	08	x1	33
4144	08	x2	8
41473	01	x1	0
41473	09	x1	0
41495	01	x1	2
41546	01	x1	28
41546	08	x1	28
41546	09	x1	10
41557	01	x1	28
41557	08	x1	28
41557	09	x1	0
41562	01	x1	22
41562	09	x1	22
41591	09	x1	0
41598	01	x1	12
41598	01	x2	27
41598	08	x1	12
41629	08	x1	12
41629	09	x1	27
41633	01	x1	12
41654	01	x1	9
41654	01	x2	37
41654	08	x1	37
41654	08	x2	9
41654	09	x1	9
41663	01	x1	0
41663	09	x1	0
41699	09	x1	0
41752	08	x1	3
41753	09	x1	0
41782	01	x1	18
41811	01	x1	25
41861	09	x1	7
4187	09	x1	0
4187	09	x2	0
41896	08	x1	28
4191	01	x1	0
4191	08	x1	0
4191	09	x1	0
41934	01	x1	12
41934	08	x1	12
41934	08	x2	27
41934	09	x1	12
41934	09	x2	27
4195	08	x1	1
4195	09	x1	1
4195	09	x2	1
41969	08	x1	0
41986	01	x1	12
41986	08	x1	12
41992	01	x1	22
41992	09	x1	0
4202	01	x1	0
42045	01	x1	10
42045	08	x1	10
42073	08	x1	10
42073	08	x2	28
42121	09	x1	12
42174	08	x1	36
42216	08	x1	6
42216	09	x1	6
42247	01	x1	12
42247	09	x1	27
42264	01	x1	11
42264	08	x1	11
42264	09	x1	22
42300	01	x1	37
42310	09	x1	7
42312	08	x1	22
42333	01	x1	0
42333	09	x1	0
42349	09	x1	11
42407	08	x1	0
42407	09	x1	0
42497	08	x1	22
42504	09	x1	6
42504	09	x2	35
42546	08	x1	10
42551	08	x1	2
42571	08	x1	12
42571	09	x1	27
42635	09	x1	0
42705	01	x1	22
42705	08	x1	22
42759	08	x1	7
42761	01	x1	0
42803	01	x1	0
42803	08	x1	14
42820	08	x1	11
42820	09	x1	11
42833	01	x1	6
42833	08	x1	6
42868	01	x1	0
42871	08	x1	28
42883	09	x1	0
42894	08	x1	5
42895	08	x1	22
4291	08	x1	13
42967	01	x1	37
42967	08	x1	9
42967	08	x2	37
42975	01	x1	3
42986	08	x1	6
4301	08	x1	10
43033	09	x1	12
43055	08	x1	3
43055	09	x1	0
43104	08	x1	28
43104	09	x1	0
4310	08	x1	22
4310	09	x1	11
4310	09	x2	22
43110	01	x1	6
43110	01	x2	0
43111	08	x1	0
43111	09	x1	0
43115	01	x1	0
43141	09	x1	28
43152	01	x1	32
43152	01	x2	25
43228	08	x1	28
43228	08	x2	10
43250	08	x1	0
43258	01	x1	0
43276	01	x1	6
43276	08	x1	35
43302	01	x1	0
43302	08	x1	3
43310	09	x1	37
43312	08	x1	3
43323	09	x1	0
43332	01	x1	12
43332	09	x1	12
43334	08	x1	0
43344	08	x1	11
43344	09	x1	11
43387	08	x1	35
4339	08	x1	37
43460	01	x1	0
43460	08	x1	0
43460	09	x1	0
43463	09	x1	0
43491	01	x1	10
43515	01	x1	28
43515	08	x1	28
43600	08	x1	2
43600	09	x1	0
43608	08	x1	17
43609	08	x1	3
43609	09	x1	7
43643	01	x1	23
43643	09	x1	23
43658	01	x1	0
43658	09	x1	0
43718	09	x1	0
43748	01	x1	10
43748	08	x1	10
43748	09	x1	10
43763	09	x1	0
43799	01	x1	0
43827	09	x1	11
43843	01	x1	36
43843	08	x1	36
43855	08	x1	35
43875	01	x1	20
4392	01	x1	0
4392	09	x1	22
43930	09	x1	0
4393	08	x1	6
43958	01	x1	10
43958	08	x1	10
43958	08	x2	28
43980	09	x1	22
44001	09	x1	11
44009	09	x1	11
44037	09	x1	0
44043	01	x1	36
44049	01	x1	0
44049	09	x1	0
44076	08	x1	6
44082	09	x1	0
44096	01	x1	6
44113	01	x1	14
44113	08	x1	13
44291	09	x1	0
44310	09	x1	0
44391	01	x1	0
44391	09	x1	0
44396	08	x1	22
4439	08	x1	0
4439	09	x1	7
44425	08	x1	20
44430	01	x1	1
44430	08	x1	1
44430	09	x1	0
44449	01	x1	0
44449	09	x1	12
44449	09	x2	27
44465	09	x1	0
44482	08	x1	6
44487	01	x1	7
44487	01	x2	36
44513	08	x1	5
44577	09	x1	12
44583	09	x1	9
44595	08	x1	37
44622	01	x1	37
44622	01	x2	9
44622	08	x1	37
44661	09	x1	33
44679	08	x1	6
44706	01	x1	22
44731	01	x1	0
44773	01	x1	0
44773	09	x1	0
44788	08	x1	8
44821	01	x1	0
44821	09	x1	0
44832	01	x1	0
44832	09	x1	35
4484	01	x1	0
4484	08	x1	0
44973	01	x1	39
44973	01	x2	39
44991	09	x1	7
4501	09	x1	32
45068	08	x1	11
45083	01	x1	1
45142	08	x1	7
45229	09	x1	22
45259	01	x1	11
45317	08	x1	19
45317	09	x1	19
45318	08	x1	12
45361	01	x1	6
45361	09	x1	35
45361	09	x2	6
45368	09	x1	29
45392	09	x1	0
45455	08	x1	11
4548	09	x1	0
45515	08	x1	18
45555	09	x1	7
4558	01	x1	0
45656	08	x1	5
45667	08	x1	6
45667	08	x2	35
45667	09	x1	35
45714	09	x1	0
4571	08	x1	0
45744	08	x1	11
45744	09	x1	11
45746	01	x1	7
45746	08	x1	36
45746	09	x1	36
45763	08	x1	0
45764	01	x1	0
45764	08	x1	1
45764	09	x1	1
457	01	x1	6
457	08	x1	35
457	08	x2	6
457	09	x1	6
45850	01	x1	6
45850	09	x1	6
45863	01	x1	5
45866	01	x1	6
45866	09	x1	6
45866	09	x2	6
45874	01	x1	7
45919	09	x1	0
4591	01	x1	0
4591	08	x1	27
4593	09	x1	0
4597	08	x1	27
4597	08	x2	12
4597	09	x1	27
4597	09	x2	12
45985	08	x1	7
46003	08	x1	28
46027	09	x1	1
46027	09	x2	0
46038	08	x1	0
46038	09	x1	0
46048	01	x1	0
46048	01	x2	0
46119	08	x1	37
46121	09	x1	22
46155	09	x1	0
46194	01	x1	26
46194	01	x2	26
46194	08	x1	26
46194	09	x1	26
46215	01	x1	3
46215	09	x1	3
46231	01	x1	16
46253	01	x1	9
46253	08	x1	37
46253	08	x2	9
4625	08	x1	9
